PDCPBytesDL,PDCPBytesUL,PRBUsageDL,PRBUsageUL,cellid,MeasTimestampRF
1670000,955776,201,63,555006,2020-10-28 13:44:24.441668
1750000,974332,216,69,555006,2020-10-28 13:44:24.451668
1829000,945332,209,67,555006,2020-10-28 13:44:24.461668
1660000,1023776,206,62,555006,2020-10-28 13:44:24.471668
1560000,906054,209,70,555006,2020-10-28 13:44:24.481668
1990100,1010888,215,74,555006,2020-10-28 13:44:24.491668
1650000,1002332,212,72,555006,2020-10-28 13:44:24.501668
1610000,943776,206,68,555006,2020-10-28 13:44:24.511668
1297000,856776,191,44,555006,2020-10-28 13:44:24.521668
1680000,958054,211,73,555006,2020-10-28 13:44:24.531668
1590000,996054,213,65,555006,2020-10-28 13:44:24.541668
1518000,862054,193,60,555006,2020-10-28 13:44:24.551668
2010000,996332,218,71,555006,2020-10-28 13:44:24.561668
1790000,979054,211,64,555006,2020-10-28 13:44:24.571668
1370000,947220,200,45,555006,2020-10-28 13:44:24.581668
1560000,987776,206,54,555006,2020-10-28 13:44:24.591668
1920000,1066054,215,60,555006,2020-10-28 13:44:24.601668
2080000,1092332,220,73,555006,2020-10-28 13:44:24.611668
1044000,816998,186,44,555006,2020-10-28 13:44:24.621668
1834000,974110,210,69,555006,2020-10-28 13:44:24.631668
2040000,1060054,215,50,555006,2020-10-28 13:44:24.641668
2220000,1044332,220,67,555006,2020-10-28 13:44:24.651668
1750000,987054,211,59,555006,2020-10-28 13:44:24.661668
2013000,910888,209,80,555006,2020-10-28 13:44:24.671668
2300000,1134888,230,78,555006,2020-10-28 13:44:24.681668
1350000,727498,197,56,555006,2020-10-28 13:44:24.691668
1550000,845054,213,71,555006,2020-10-28 13:44:24.701668
1285000,749310,187,64,555006,2020-10-28 13:44:24.711668
1450000,849498,203,53,555006,2020-10-28 13:44:24.721668
1860000,1051054,215,72,555006,2020-10-28 13:44:24.731668
1710000,1053776,210,56,555006,2020-10-28 13:44:24.741668
2050000,1020610,221,78,555006,2020-10-28 13:44:24.751668
1400000,961498,201,54,555006,2020-10-28 13:44:24.761668
1775000,1015810,210,73,555006,2020-10-28 13:44:24.771668
1970000,1104610,225,67,555006,2020-10-28 13:44:24.781668
2030000,1078610,225,79,555006,2020-10-28 13:44:24.791668
1650000,969054,213,65,555006,2020-10-28 13:44:24.801668
2160000,1038610,223,64,555006,2020-10-28 13:44:24.811668
1900000,1111054,215,69,555006,2020-10-28 13:44:24.821668
1249000,802054,194,53,555006,2020-10-28 13:44:24.831668
2110000,1097610,225,72,555006,2020-10-28 13:44:24.841668
1610000,949498,201,57,555006,2020-10-28 13:44:24.851668
1700000,999054,211,68,555006,2020-10-28 13:44:24.861668
1547000,865054,197,74,555006,2020-10-28 13:44:24.871668
2060000,1098054,215,60,555006,2020-10-28 13:44:24.881668
2000000,965332,216,74,555006,2020-10-28 13:44:24.891668
1950000,1042332,218,77,555006,2020-10-28 13:44:24.901668
1770000,965776,208,60,555006,2020-10-28 13:44:24.911668
1117000,670330,172,53,555006,2020-10-28 13:44:24.921668
1950000,1093332,220,66,555006,2020-10-28 13:44:24.931668
1880000,904610,221,76,555006,2020-10-28 13:44:24.941668
1590000,1010054,209,66,555006,2020-10-28 13:44:24.951668
1800000,1008054,213,74,555006,2020-10-28 13:44:24.961668
2120000,1079610,225,78,555006,2020-10-28 13:44:24.971668
2590000,1197444,240,88,555006,2020-10-28 13:44:24.981668
1880000,1058054,215,69,555006,2020-10-28 13:44:24.991668
1630000,962776,208,65,555006,2020-10-28 13:44:25.001668
1454000,705666,189,70,555006,2020-10-28 13:44:25.011668
1720000,1050054,213,69,555006,2020-10-28 13:44:25.021668
1890000,1074332,216,70,555006,2020-10-28 13:44:25.031668
1940000,1035610,221,71,555006,2020-10-28 13:44:25.041668
1890000,962332,218,62,555006,2020-10-28 13:44:25.051668
2110000,1083888,226,76,555006,2020-10-28 13:44:25.061668
1209000,763776,197,59,555006,2020-10-28 13:44:25.071668
1570000,942776,208,63,555006,2020-10-28 13:44:25.081668
2010000,1084332,220,68,555006,2020-10-28 13:44:25.091668
2180000,1103610,225,69,555006,2020-10-28 13:44:25.101668
1960000,1050054,213,63,555006,2020-10-28 13:44:25.111668
1540000,972776,205,61,555006,2020-10-28 13:44:25.121668
2050000,1007166,224,77,555006,2020-10-28 13:44:25.131668
2220000,1125610,225,77,555006,2020-10-28 13:44:25.141668
1791000,878332,203,62,555006,2020-10-28 13:44:25.151668
1587000,993332,204,61,555006,2020-10-28 13:44:25.161668
1470000,983776,202,73,555006,2020-10-28 13:44:25.171668
1740000,889332,211,77,555006,2020-10-28 13:44:25.181668
1970000,920332,214,76,555006,2020-10-28 13:44:25.191668
1750000,936054,213,65,555006,2020-10-28 13:44:25.201668
2090000,1107610,225,77,555006,2020-10-28 13:44:25.211668
1930000,1020332,218,69,555006,2020-10-28 13:44:25.221668
1434000,869778,192,55,555006,2020-10-28 13:44:25.231668
1070000,743220,192,49,555006,2020-10-28 13:44:25.241668
1580000,922776,208,61,555006,2020-10-28 13:44:25.251668
1810000,1032332,218,65,555006,2020-10-28 13:44:25.261668
1241000,797054,194,66,555006,2020-10-28 13:44:25.271668
1790000,982332,218,67,555006,2020-10-28 13:44:25.281668
1850010,945110,208,63,555006,2020-10-28 13:44:25.291668
1694000,891532,201,75,555006,2020-10-28 13:44:25.301668
2120000,1075610,223,80,555006,2020-10-28 13:44:25.311668
1460000,983776,206,63,555006,2020-10-28 13:44:25.321668
1279000,916776,197,52,555006,2020-10-28 13:44:25.331668
1810000,1034332,215,74,555006,2020-10-28 13:44:25.341668
2220000,1159888,230,75,555006,2020-10-28 13:44:25.351668
1900000,991332,218,66,555006,2020-10-28 13:44:25.361668
1940000,902332,209,59,555006,2020-10-28 13:44:25.371668
2017000,926166,215,81,555006,2020-10-28 13:44:25.381668
1340000,856776,197,58,555006,2020-10-28 13:44:25.391668
1980000,1104332,220,60,555006,2020-10-28 13:44:25.401668
2230000,1151888,230,78,555006,2020-10-28 13:44:25.411668
1460000,911498,201,55,555006,2020-10-28 13:44:25.421668
1840000,1008054,213,61,555006,2020-10-28 13:44:25.431668
1890000,952332,215,69,555006,2020-10-28 13:44:25.441668
1770000,996054,213,68,555006,2020-10-28 13:44:25.451668
1854000,958088,214,76,555006,2020-10-28 13:44:25.461668
1890000,1022332,218,68,555006,2020-10-28 13:44:25.471668
1700000,903332,212,73,555006,2020-10-28 13:44:25.481668
1920000,1104332,216,71,555006,2020-10-28 13:44:25.491668
1850000,1080054,215,63,555006,2020-10-28 13:44:25.501668
2060000,1114610,225,74,555006,2020-10-28 13:44:25.511668
2124000,1064168,219,74,555006,2020-10-28 13:44:25.521668
1434000,871054,198,55,555006,2020-10-28 13:44:25.531668
1590010,833332,200,61,555006,2020-10-28 13:44:25.541668
2360000,1081888,230,74,555006,2020-10-28 13:44:25.551668
1670000,1060054,215,62,555006,2020-10-28 13:44:25.561668
1253000,869074,189,61,555006,2020-10-28 13:44:25.571668
1980000,1081332,218,69,555006,2020-10-28 13:44:25.581668
1730000,1010054,209,62,555006,2020-10-28 13:44:25.591668
1589000,961054,206,61,555006,2020-10-28 13:44:25.601668
1688000,930610,208,75,555006,2020-10-28 13:44:25.611668
1289000,649054,193,67,555006,2020-10-28 13:44:25.621668
1980000,1108610,223,72,555006,2020-10-28 13:44:25.631668
1530000,1033776,206,60,555006,2020-10-28 13:44:25.641668
1860000,1040332,220,68,555006,2020-10-28 13:44:25.651668
1324000,763554,192,62,555006,2020-10-28 13:44:25.661668
1320000,857498,197,48,555006,2020-10-28 13:44:25.671668
2040000,1078610,223,77,555006,2020-10-28 13:44:25.681668
1348000,796332,198,65,555006,2020-10-28 13:44:25.691668
2090000,1064888,225,80,555006,2020-10-28 13:44:25.701668
2274000,1027166,219,80,555006,2020-10-28 13:44:25.711668
1840000,974332,214,67,555006,2020-10-28 13:44:25.721668
2030000,1043332,218,71,555006,2020-10-28 13:44:25.731668
2110000,1074332,220,75,555006,2020-10-28 13:44:25.741668
1411000,715254,191,65,555006,2020-10-28 13:44:25.751668
1329000,937776,200,58,555006,2020-10-28 13:44:25.761668
1580000,881498,201,64,555006,2020-10-28 13:44:25.771668
2110000,1128610,225,74,555006,2020-10-28 13:44:25.781668
2400000,1142166,233,86,555006,2020-10-28 13:44:25.791668
1768000,1026332,204,59,555006,2020-10-28 13:44:25.801668
2180000,1012888,228,75,555006,2020-10-28 13:44:25.811668
1310000,787498,198,58,555006,2020-10-28 13:44:25.821668
1900000,1039054,215,56,555006,2020-10-28 13:44:25.831668
1633000,872610,205,77,555006,2020-10-28 13:44:25.841668
1880000,996610,216,85,555006,2020-10-28 13:44:25.851668
1520000,921498,203,50,555006,2020-10-28 13:44:25.861668
1840000,1089054,215,64,555006,2020-10-28 13:44:25.871668
1700000,895054,208,72,555006,2020-10-28 13:44:25.881668
1697000,965332,202,64,555006,2020-10-28 13:44:25.891668
2190000,1067888,225,79,555006,2020-10-28 13:44:25.901668
841000,630776,176,67,555006,2020-10-28 13:44:25.911668
1770010,973532,205,68,555006,2020-10-28 13:44:25.921668
1570010,952332,204,65,555006,2020-10-28 13:44:25.931668
1680000,1045776,210,57,555006,2020-10-28 13:44:25.941668
1641000,911532,204,54,555006,2020-10-28 13:44:25.951668
1560000,943776,210,57,555006,2020-10-28 13:44:25.961668
1640000,1034776,210,53,555006,2020-10-28 13:44:25.971668
1800000,949054,211,69,555006,2020-10-28 13:44:25.981668
1971000,965610,207,70,555006,2020-10-28 13:44:25.991668
2590000,1157444,240,85,555006,2020-10-28 13:44:26.001668
1704000,997610,209,75,555006,2020-10-28 13:44:26.011668
1730000,1103776,210,54,555006,2020-10-28 13:44:26.021668
1800000,904332,212,71,555006,2020-10-28 13:44:26.031668
1440000,810498,199,48,555006,2020-10-28 13:44:26.041668
1890000,939332,216,69,555006,2020-10-28 13:44:26.051668
1910000,1103332,220,70,555006,2020-10-28 13:44:26.061668
2150000,1042332,218,78,555006,2020-10-28 13:44:26.071668
1969000,1010610,214,72,555006,2020-10-28 13:44:26.081668
1490110,804610,189,65,555006,2020-10-28 13:44:26.091668
2220000,1080888,226,81,555006,2020-10-28 13:44:26.101668
2090000,1110610,225,79,555006,2020-10-28 13:44:26.111668
1840000,1054610,220,69,555006,2020-10-28 13:44:26.121668
1768000,960610,214,71,555006,2020-10-28 13:44:26.131668
1670000,942054,209,62,555006,2020-10-28 13:44:26.141668
1600000,966054,213,59,555006,2020-10-28 13:44:26.151668
1339000,845054,201,62,555006,2020-10-28 13:44:26.161668
1218000,835776,191,58,555006,2020-10-28 13:44:26.171668
1233000,884776,193,50,555006,2020-10-28 13:44:26.181668
1760000,982776,206,49,555006,2020-10-28 13:44:26.191668
1600000,909498,203,53,555006,2020-10-28 13:44:26.201668
2430000,1146166,235,82,555006,2020-10-28 13:44:26.211668
1184000,902976,190,52,555006,2020-10-28 13:44:26.221668
1893000,998388,214,63,555006,2020-10-28 13:44:26.231668
2190000,1079610,225,72,555006,2020-10-28 13:44:26.241668
2390000,1064166,230,83,555006,2020-10-28 13:44:26.251668
1780000,1039054,207,74,555006,2020-10-28 13:44:26.261668
2110000,1116610,225,70,555006,2020-10-28 13:44:26.271668
1840000,1035776,210,60,555006,2020-10-28 13:44:26.281668
1895000,901888,213,80,555006,2020-10-28 13:44:26.291668
1960000,1054332,220,74,555006,2020-10-28 13:44:26.301668
1230000,645498,197,62,555006,2020-10-28 13:44:26.311668
1570000,910054,203,74,555006,2020-10-28 13:44:26.321668
1760000,1100054,215,61,555006,2020-10-28 13:44:26.331668
1870000,1024332,214,72,555006,2020-10-28 13:44:26.341668
1400000,933776,203,61,555006,2020-10-28 13:44:26.351668
1603000,833332,199,66,555006,2020-10-28 13:44:26.361668
1655000,907254,200,55,555006,2020-10-28 13:44:26.371668
1900000,1066332,220,77,555006,2020-10-28 13:44:26.381668
2010000,1097332,218,82,555006,2020-10-28 13:44:26.391668
1890000,1010054,215,69,555006,2020-10-28 13:44:26.401668
1170000,967220,200,42,555006,2020-10-28 13:44:26.411668
1196000,676810,180,57,555006,2020-10-28 13:44:26.421668
1760000,1083776,210,59,555006,2020-10-28 13:44:26.431668
1690000,935054,211,63,555006,2020-10-28 13:44:26.441668
2150000,1098610,225,76,555006,2020-10-28 13:44:26.451668
2060000,1016332,216,76,555006,2020-10-28 13:44:26.461668
1700000,1055776,210,69,555006,2020-10-28 13:44:26.471668
2050000,1075610,225,65,555006,2020-10-28 13:44:26.481668
2300000,1002332,218,71,555006,2020-10-28 13:44:26.491668
2170000,1137888,230,75,555006,2020-10-28 13:44:26.501668
1500000,867776,204,61,555006,2020-10-28 13:44:26.511668
1700000,1005776,210,55,555006,2020-10-28 13:44:26.521668
1560000,950498,205,50,555006,2020-10-28 13:44:26.531668
1278000,603332,192,69,555006,2020-10-28 13:44:26.541668
1790000,1000332,218,71,555006,2020-10-28 13:44:26.551668
1345000,926254,200,51,555006,2020-10-28 13:44:26.561668
1550000,1084776,210,58,555006,2020-10-28 13:44:26.571668
1610000,869332,208,71,555006,2020-10-28 13:44:26.581668
1590000,1000054,208,74,555006,2020-10-28 13:44:26.591668
2038000,1035888,215,69,555006,2020-10-28 13:44:26.601668
2090000,1054332,220,72,555006,2020-10-28 13:44:26.611668
